n,lambda_n,lambda_n_over_n
56,51.6423205528542543413510395488,0.922184295586683113238411420515
57,53.0088912891950358583833102288,0.929980548933246243129531758399
58,54.3795085469513514990220711163,0.937577733568126749983139157178
59,55.7542163303231516711772592864,0.944986717463104265613173886211
60,57.1330995748746938396527491237,0.952218326247911563994212485394
61,58.5162817130936334835388074694,0.959283306772026778418668974909
62,59.9039220830674064402498671133,0.966192291662377523229836566344
63,61.2962131950072553155259403522,0.972955765000115163738506989717
64,62.6933778709761642000789388702,0.979584029234002565626233419847
65,64.0956662737238997439726986225,0.9860871734419061499072722865
66,65.5033528409977571119006041197,0.992475043045420562301524304844
67,66.916733142079331661347802342,0.998757211075810920318623915553
68,68.3361206735939576501555843277,1.00494295108226408309052329894
69,69.7618436118490795345060538279,1.01104121176592868890588483809
70,71.1942415390798905334829857242,1.01706059341542700762118551035
71,72.6336621610146675104241080162,1.02300932621147419028766349319
72,74.0804580331183722828199278704,1.02889525045997739281694344264
73,75.5349833127317391768009691025,1.03472579880454437228494478223
74,76.9975905540951267648301958913,1.04050798046074495628148913367
75,78.4686275629332109669719097742,1.04624836750577614622629213032
76,79.948434326879895625177535093,1.05195308324841967927865177754
77,81.4373400375447905266236846133,1.05762779269538688995615174822
78,82.9356602194658363230667739991,1.06327769512135687593675351281
79,84.4436939805601136631956170915,1.06890751874126726155943819103
80,85.9617213979799098021938446239,1.0745215174747488725274230578
81,87.4900010525074394151748810922,1.08012346978404246191573927274
82,89.02876772378327760070518079,1.0857166795583326536671363511
83,90.5782302577649326298544456906,1.09130397900921605578137886374
84,92.1385696168577324117988755909,1.09688773353402062394998661418
85,93.7099371221552647815990819433,1.10246984849594429154822449345
86,95.2924528961761897273219696807,1.10805177786251383403862755443
87,96.8862045133937467182299550315,1.11363453463670973239344775898
88,98.4912458647293231358499911909,1.11921870300828776290738626353
89,100.107596241027808455869734875,1.12480445214637987029067117837
90,101.73523963935604935653198691,1.13039155154840054840591096566
91,103.374124294772567618174009292,1.13597938785464360019971438783
92,105.024162439012907623547066502,1.14156698303274899590812028806
93,106.685230286326692614752376685,1.14715301383146981306185351274
94,108.357168245495853819690580736,1.15273583239889206191160192273
95,110.03978135586470435101559969,1.15831348795647057211595368095
96,111.73283994402766467623462163,1.16388374941695484037744397531
97,113.436080496655536064463490019,1.1694441288315003717985926806
98,115.149206743802183353914016676,1.17499190554900187095830629261
99,116.871890945926112522274594863,1.18052415096895063153812722084
100,118.603775376791329927364698398,1.18603775376791329927364698398
101,120.344473993384472723224414263,1.19152944547905418537845954716
102,122.093574283005706575269017605,1.19699582630397751544381389809
103,123.850639276764252736251314081,1.20243339103654614307040110758
104,125.615209717840314894390802485,1.20783855497923379706145002389
105,127.386806372068014331336887611,1.21320767973398108886987512011
106,129.16493246765277948539641647,1.21853709875144131589996619312
107,130.949076250165204571037387445,1.22382314252490845393492885462
108,132.738713638355066266742563246,1.22906216331810246543280151154
109,134.53331096580696882947496035,1.23425055931932998926123816834
110,136.33232779301558889291291623,1.23938479811832353539011742027
111,138.135219774095922589760753731,1.24446143940626957288072751109
112,139.941441562064097802435496243,1.24947715680414373037888835931
113,141.750449736428580033869444339,1.25442875872945646047672074636
